"Avaliacao","Lucro_Mediana","Lucro_Min","Lucro_Max"
787,507,279,737
788,507,279,737
789,507,279,737
790,507,279,737
791,534,279,737
792,534,279,737
793,534,279,737
794,534,279,737
795,534,279,737
796,534,279,737
797,534,279,737
798,534,279,737
799,534,279,737
800,534,279,737
801,534,279,737
802,534,279,737
803,534,279,737
804,534,279,737
805,534,279,737
806,534,279,737
807,534,279,737
808,534,279,737
809,534,279,737
810,534,279,737
811,534,279,737
812,534,279,737
813,534,279,737
814,534,279,737
815,534,279,737
816,534,279,737
817,534,279,737
818,534,307,737
819,534,307,737
820,534,307,737
821,534,307,737
822,534,307,737
823,534,307,737
824,534,307,737
825,534,307,737
826,534,307,737
827,534,307,737
828,534,307,737
829,534,307,737
830,534,307,737
831,534,307,737
832,534,307,737
833,534,307,737
834,534,307,737
835,534,307,737
836,534,307,737
837,534,307,737
838,534,307,737
839,534,307,737
840,534,307,737
841,534,307,737
842,534,307,737
843,534,307,737
844,534,307,737
845,534,307,737
846,534,307,737
847,534,307,737
848,534,307,737
849,534,307,737
850,534,307,737
851,534,307,737
852,534,307,737
853,534,307,737
854,534,307,737
855,534,307,737
856,534,307,737
857,534,307,737
858,534,307,737
859,534,396,737
860,534,396,737
861,534,396,737
862,534,396,737
863,534,396,737
864,534,396,737
865,534,396,737
866,534,396,737
867,534,396,737
868,534,396,737
869,534,396,737
870,534,396,737
871,534,396,737
872,534,396,737
873,534,396,737
874,534,396,737
875,534,396,737
876,534,396,737
877,534,396,737
878,534,396,737
879,534,396,737
880,534,396,737
881,534,396,737
882,534,396,737
883,534,396,737
884,534,396,737
885,534,396,737
886,534,396,737
887,534,396,737
888,534,396,737
889,534,396,737
890,534,396,737
891,534,396,737
892,534,396,737
893,534,396,737
894,537,396,737
895,537,396,737
896,537,396,737
897,537,396,737
898,537,396,737
899,537,396,737
900,537,396,737
901,537,396,737
902,537,396,737
903,537,396,737
904,537,396,737
905,537,396,737
906,537,396,737
907,537,396,737
908,537,396,737
909,537,396,737
910,537,396,737
911,537,396,737
912,537,396,737
913,537,396,737
914,537,396,737
915,537,396,737
916,537,396,737
917,537,396,737
918,537,396,737
919,537,396,737
920,537,396,737
921,537,396,737
922,537,396,737
923,537,396,737
924,537,396,790
925,537,396,790
926,537,396,790
927,537,396,790
928,537,396,790
929,537,396,790
930,537,396,790
931,537,396,790
932,537,396,790
933,537,396,790
934,537,396,790
935,537,396,790
936,537,396,790
937,537,396,790
938,537,396,790
939,537,396,790
940,537,396,790
941,537,396,790
942,537,396,790
943,537,396,790
944,537,396,790
945,537,399,790
946,537,399,790
947,537,399,790
948,537,399,790
949,537,399,790
950,537,399,790
951,537,399,790
952,537,399,790
953,537,399,790
954,537,399,790
955,537,399,790
956,537,399,790
957,537,399,790
958,537,399,790
959,537,399,790
960,537,399,790
961,537,399,790
962,537,399,790
963,537,399,790
964,537,399,790
965,537,399,790
966,537,399,790
967,537,399,790
968,537,399,790
969,537,399,790
970,537,399,790
971,537,399,790
972,537,399,790
973,537,399,790
974,537,399,790
975,537,399,790
976,537,399,790
977,537,399,790
978,537,399,790
979,537,399,790
980,537,399,790
981,537,399,790
982,537,399,790
983,537,399,790
984,549,399,790
985,549,399,790
986,549,399,790
987,549,399,790
988,549,399,790
989,549,399,790
990,549,399,790
991,549,399,790
992,549,399,790
993,549,399,790
994,549,399,790
995,549,399,790
996,549,399,790
997,549,399,790
998,549,399,790
999,549,399,790
1000,549,399,790
1001,549,399,790
1002,549,399,790
1003,549,399,790
1004,549,399,790
1005,549,399,790
1006,549,399,790
1007,549,399,790
1008,549,399,790
1009,549,399,790
1010,549,399,790
1011,549,399,790
1012,549,399,790
1013,549,399,790
1014,549,399,790
1015,549,399,790
1016,549,399,790
1017,549,399,790
1018,549,399,790
1019,549,399,790
1020,549,399,790
1021,549,399,790
1022,549,399,790
1023,549,399,790
1024,549,399,790
1025,549,399,790
1026,549,399,790
1027,549,399,790
1028,549,399,790
1029,549,399,790
1030,549,399,790
1031,549,399,790
1032,549,399,790
1033,549,399,790
1034,549,399,790
1035,549,399,790
1036,549,399,790
1037,549,399,790
1038,549,399,790
1039,549,399,790
1040,549,399,790
1041,549,399,790
1042,549,399,790
1043,549,399,790
1044,549,399,790
1045,549,399,790
1046,549,399,790
1047,549,399,790
1048,549,399,790
1049,549,399,790
1050,549,399,790
1051,549,399,790
1052,549,399,790
1053,549,399,790
1054,549,399,790
1055,549,399,790
1056,549,399,790
1057,549,399,790
1058,549,399,790
1059,549,399,790
1060,549,399,790
1061,549,399,790
1062,549,399,790
1063,549,399,790
1064,549,399,790
1065,549,399,790
1066,549,399,790
1067,549,399,790
1068,549,399,790
1069,549,399,790
1070,549,399,790
1071,549,399,790
1072,549,399,790
1073,549,399,790
1074,549,399,790
1075,549,399,790
1076,549,399,790
1077,549,399,790
1078,549,399,790
1079,549,399,790
1080,549,399,790
1081,549,399,790
1082,549,399,790
1083,549,399,790
1084,549,399,790
1085,549,399,790
1086,549,399,790
1087,549,399,790
1088,549,399,790
1089,549,399,790
1090,549,399,790
1091,549,399,790
1092,549,399,790
1093,549,399,790
1094,549,399,790
1095,549,399,790
1096,549,399,790
1097,549,399,790
1098,549,399,790
1099,549,399,790
1100,549,399,790
1101,549,399,790
1102,549,399,790
1103,549,399,790
1104,549,399,790
1105,549,399,790
1106,549,399,790
1107,549,399,790
1108,549,399,790
1109,549,399,790
1110,549,399,790
1111,549,399,790
1112,549,399,790
1113,549,399,790
1114,549,399,790
1115,549,399,790
1116,549,399,790
1117,549,399,790
1118,549,399,790
1119,549,399,790
1120,549,399,790
1121,549,399,790
1122,549,399,790
